SP	FB	KP	KI	KD	PWM
0,000000	281,760000	3,350000	19,140000	0,000000	1318,000000
0,000000	0,000000	0,000000	0,000000	0,000000	1338,520000
0,000000	291,960000	3,350000	19,140000	0,000000	1347,770000
0,000000	291,960000	3,350000	19,140000	0,000000	1347,770000
0,000000	291,960000	3,350000	19,140000	0,000000	1347,770000
0,000000	291,960000	3,350000	19,140000	0,000000	1347,770000
0,000000	291,960000	3,350000	19,140000	0,000000	1347,770000
0,000000	291,960000	3,350000	19,140000	0,000000	1347,770000
0,000000	291,960000	3,350000	19,140000	0,000000	1347,770000
0,000000	291,960000	3,350000	19,140000	0,000000	1347,770000
0,000000	291,960000	3,350000	19,140000	0,000000	1347,770000
0,000000	291,960000	3,350000	19,140000	0,000000	1347,770000
0,000000	291,960000	3,350000	19,140000	0,000000	1347,770000
0,000000	291,960000	3,350000	19,140000	0,000000	1347,770000
0,000000	303,040000	3,340000	19,030000	0,000000	900,000000
0,000000	304,980000	3,340000	19,030000	0,000000	900,000000
0,000000	303,160000	3,340000	19,030000	0,000000	900,000000
0,000000	297,780000	3,340000	19,030000	0,000000	900,000000
0,000000	286,420000	3,340000	19,030000	0,000000	900,000000
0,000000	260,720000	3,340000	19,030000	0,000000	900,000000
0,000000	231,720000	3,340000	19,030000	0,000000	900,000000
0,000000	216,760000	3,340000	19,030000	0,000000	900,000000
0,000000	171,720000	3,340000	19,030000	0,000000	900,000000
0,000000	114,680000	3,340000	19,030000	0,000000	900,000000
0,000000	81,320000	3,340000	19,030000	0,000000	900,000000
0,000000	59,320000	3,340000	19,030000	0,000000	900,000000
0,000000	44,660000	3,340000	19,030000	0,000000	900,000000
0,000000	33,840000	3,340000	19,030000	0,000000	900,000000
0,000000	25,880000	3,340000	19,030000	0,000000	900,000000
0,000000	19,680000	3,340000	19,030000	0,000000	900,000000
0,000000	15,280000	3,340000	19,030000	0,000000	900,000000
0,000000	12,080000	3,340000	19,030000	0,000000	900,000000
0,000000	9,600000	3,340000	19,030000	0,000000	900,000000
0,000000	7,780000	3,340000	19,030000	0,000000	900,000000
0,000000	6,060000	3,340000	19,030000	0,000000	900,000000
0,000000	5,000000	3,340000	19,030000	0,000000	900,000000
0,000000	4,080000	3,340000	19,030000	0,000000	900,000000
0,000000	3,400000	3,340000	19,030000	0,000000	900,000000
0,000000	2,960000	3,340000	19,030000	0,000000	900,000000
0,000000	2,360000	3,340000	19,030000	0,000000	900,000000
0,000000	2,020000	3,340000	19,030000	0,000000	900,000000
0,000000	1,980000	3,340000	19,030000	0,000000	900,000000
0,000000	1,760000	3,340000	19,030000	0,000000	900,000000
0,000000	1,480000	3,340000	19,030000	0,000000	900,000000
0,000000	1,080000	3,340000	19,030000	0,000000	900,000000
0,000000	0,980000	3,340000	19,030000	0,000000	900,000000
0,000000	0,980000	3,340000	19,030000	0,000000	900,000000
0,000000	0,900000	3,340000	19,030000	0,000000	900,000000
0,000000	0,800000	3,340000	19,030000	0,000000	900,000000
0,000000	0,700000	3,340000	19,030000	0,000000	900,000000
