SP	FB	KP	KI	KD	PWM
0,000000	283,160000	3,350000	19,140000	0,000000	1310,000000
0,000000	0,000000	3,360000	19,250000	0,000000	1410,000000
0,000000	237,120000	3,360000	19,140000	0,000000	1410,000000
0,000000	246,640000	3,300000	0,000000	0,000000	0,000000
0,000000	246,640000	3,300000	0,000000	0,000000	0,000000
0,000000	246,640000	3,300000	0,000000	0,000000	0,000000
0,000000	246,640000	3,300000	0,000000	0,000000	0,000000
0,000000	246,640000	3,300000	0,000000	0,000000	0,000000
0,000000	246,640000	3,300000	0,000000	0,000000	0,000000
0,000000	246,640000	3,300000	0,000000	0,000000	0,000000
0,000000	246,640000	3,300000	0,000000	0,000000	0,000000
0,000000	246,640000	3,300000	0,000000	0,000000	0,000000
0,000000	246,640000	3,300000	0,000000	0,000000	0,000000
0,000000	246,640000	3,300000	0,000000	0,000000	0,000000
0,000000	0,000000	3,350000	19,140000	0,000000	900,000000
0,000000	339,160000	3,350000	19,140000	0,000000	900,000000
0,000000	340,060000	3,350000	19,140000	0,000000	900,000000
0,000000	337,020000	3,350000	19,140000	0,000000	900,000000
0,000000	330,980000	3,350000	19,140000	0,000000	900,000000
0,000000	316,860000	3,350000	19,140000	0,000000	900,000000
0,000000	296,300000	3,350000	19,140000	0,000000	900,000000
0,000000	259,060000	3,350000	19,140000	0,000000	900,000000
0,000000	221,820000	3,350000	19,140000	0,000000	900,000000
0,000000	0,700000	3,350000	19,140000	0,000000	900,000000
0,000000	0,000000	3,350000	19,140000	0,000000	900,000000
0,000000	0,000000	3,350000	19,140000	0,000000	900,000000
0,000000	0,000000	3,350000	19,140000	0,000000	900,000000
0,000000	0,000000	3,350000	19,140000	0,000000	900,000000
0,000000	0,000000	3,350000	19,140000	0,000000	900,000000
0,000000	0,000000	3,350000	19,140000	0,000000	900,000000
0,000000	0,000000	3,350000	19,140000	0,000000	900,000000
0,000000	0,000000	3,350000	19,140000	0,000000	900,000000
0,000000	0,000000	3,350000	19,140000	0,000000	900,000000
0,000000	0,000000	3,350000	19,140000	0,000000	900,000000
0,000000	0,000000	3,350000	19,140000	0,000000	900,000000
0,000000	0,000000	3,350000	19,140000	0,000000	900,000000
0,000000	0,000000	3,350000	19,140000	0,000000	900,000000
0,000000	0,000000	3,350000	19,140000	0,000000	900,000000
0,000000	0,000000	3,350000	19,140000	0,000000	900,000000
0,000000	0,000000	3,350000	19,140000	0,000000	900,000000
0,000000	0,000000	3,350000	19,140000	0,000000	900,000000
0,000000	0,000000	3,350000	19,140000	0,000000	900,000000
0,000000	0,000000	3,350000	19,140000	0,000000	900,000000
0,000000	0,000000	3,350000	19,140000	0,000000	900,000000
0,000000	0,000000	3,350000	19,140000	0,000000	900,000000
0,000000	0,000000	3,350000	19,140000	0,000000	900,000000
0,000000	0,000000	3,350000	19,140000	0,000000	900,000000
0,000000	0,000000	3,350000	19,140000	0,000000	900,000000
0,000000	0,000000	3,350000	19,140000	0,000000	900,000000
0,000000	0,000000	3,350000	19,140000	0,000000	900,000000
0,000000	0,000000	3,350000	19,140000	0,000000	900,000000
0,000000	0,000000	3,350000	19,140000	0,000000	900,000000
0,000000	0,000000	3,350000	19,140000	0,000000	900,000000
0,000000	0,000000	3,350000	19,140000	0,000000	900,000000
0,000000	0,000000	3,350000	19,140000	0,000000	900,000000
0,000000	0,000000	3,350000	19,140000	0,000000	1384,000000
0,000000	0,060000	3,350000	19,140000	0,000000	1384,000000
0,000000	0,000000	3,350000	19,140000	0,000000	1384,000000
0,000000	0,000000	3,350000	19,140000	0,000000	1384,000000
