SP	FB	KP	KI	KD	PWM
0,000000	0,000000	0,000000	0,000000	0,000000	1318,000000
0,000000	0,000000	3,350000	19,140000	0,000000	1251,050000
0,000000	302,440000	3,350000	19,140000	0,000000	1256,580000
0,000000	298,460000	3,350000	19,140000	0,000000	1264,210000
0,000000	294,080000	3,350000	19,140000	0,000000	1251,050000
0,000000	302,440000	3,350000	19,140000	0,000000	1256,580000
0,000000	298,460000	3,350000	19,140000	0,000000	1264,210000
0,000000	294,080000	3,350000	19,140000	0,000000	0,000000
0,000000	294,080000	3,350000	19,140000	0,000000	0,000000
0,000000	294,080000	3,350000	19,140000	0,000000	0,000000
0,000000	294,080000	3,350000	19,140000	0,000000	0,000000
0,000000	294,080000	3,350000	19,140000	0,000000	0,000000
0,000000	294,080000	3,350000	19,140000	0,000000	0,000000
0,000000	294,080000	3,350000	19,140000	0,000000	0,000000
0,000000	256,280000	3,340000	19,030000	0,000000	988,870000
0,000000	254,880000	3,340000	19,030000	0,000000	900,000000
0,000000	252,940000	3,340000	19,030000	0,000000	900,000000
0,000000	245,800000	3,340000	19,030000	0,000000	900,000000
0,000000	224,200000	3,340000	19,030000	0,000000	900,000000
0,000000	208,880000	3,340000	19,030000	0,000000	900,000000
0,000000	179,940000	3,340000	19,030000	0,000000	900,000000
0,000000	167,640000	3,340000	19,030000	0,000000	900,000000
0,000000	155,160000	3,340000	19,030000	0,000000	900,000000
0,000000	143,200000	3,340000	19,030000	0,000000	900,000000
0,000000	132,340000	3,340000	19,030000	0,000000	900,000000
0,000000	123,200000	3,340000	19,030000	0,000000	900,000000
0,000000	115,000000	3,340000	19,030000	0,000000	900,000000
0,000000	107,840000	3,340000	19,030000	0,000000	900,000000
0,000000	101,040000	3,340000	19,030000	0,000000	900,000000
0,000000	94,940000	3,340000	19,030000	0,000000	900,000000
0,000000	90,320000	3,340000	19,030000	0,000000	900,000000
0,000000	85,860000	3,340000	19,030000	0,000000	900,000000
0,000000	81,280000	3,340000	19,030000	0,000000	900,000000
0,000000	77,380000	3,340000	19,030000	0,000000	900,000000
0,000000	73,780000	3,340000	19,030000	0,000000	900,000000
0,000000	70,920000	3,340000	19,030000	0,000000	900,000000
0,000000	68,420000	3,340000	19,030000	0,000000	900,000000
0,000000	65,980000	3,340000	19,030000	0,000000	900,000000
0,000000	63,900000	3,340000	19,030000	0,000000	900,000000
0,000000	61,840000	3,340000	19,030000	0,000000	900,000000
0,000000	59,960000	3,340000	19,030000	0,000000	900,000000
0,000000	58,100000	3,340000	19,030000	0,000000	900,000000
0,000000	56,560000	3,340000	19,030000	0,000000	900,000000
0,000000	55,040000	3,340000	19,030000	0,000000	900,000000
0,000000	53,700000	3,340000	19,030000	0,000000	900,000000
0,000000	52,060000	3,340000	19,030000	0,000000	900,000000
0,000000	50,920000	3,340000	19,030000	0,000000	900,000000
